# energy, temperature
1.000029069243048951e+02,0.000000000000000000e+00
9.209472253349079551e+01,0.000000000000000000e+00
8.235900404789543927e+01,0.000000000000000000e+00
8.296304304750681524e+01,0.000000000000000000e+00
6.551416013966165508e+01,0.000000000000000000e+00
9.611388739196743813e+01,0.000000000000000000e+00
1.355477209946970447e+02,0.000000000000000000e+00
6.855811013260044717e+01,0.000000000000000000e+00
6.670851494218798905e+01,0.000000000000000000e+00
1.736632635182342881e+02,0.000000000000000000e+00
7.913443632339019018e+01,0.000000000000000000e+00
1.705321743677520772e+02,0.000000000000000000e+00
6.858576087817368716e+01,0.000000000000000000e+00
7.367689898056418940e+01,0.000000000000000000e+00
8.589861763681558671e+01,0.000000000000000000e+00
2.236012661061278379e+02,0.000000000000000000e+00
6.213795266929075467e+01,0.000000000000000000e+00
7.780643707661293718e+01,0.000000000000000000e+00
4.284964686209250431e+02,0.000000000000000000e+00
6.048061118931169489e+01,0.000000000000000000e+00
1.002284903240501421e+02,0.000000000000000000e+00
7.411564553559175295e+01,0.000000000000000000e+00
1.672963988985290769e+02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
7.020618454883675952e+01,0.000000000000000000e+00
8.960546800206259377e+01,0.000000000000000000e+00
6.681207877998356537e+01,0.000000000000000000e+00
5.676753663278721262e+01,0.000000000000000000e+00
8.905082617914692378e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
2.155953490318026979e+02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
6.007931480938215429e+01,0.000000000000000000e+00
7.196355255552936114e+01,0.000000000000000000e+00
7.708164164707878285e+01,0.000000000000000000e+00
8.857853420994810278e+01,0.000000000000000000e+00
6.381540394999341714e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
6.085885116674500495e+01,0.000000000000000000e+00
7.130479895333515117e+01,0.000000000000000000e+00
1.008656491058447386e+02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
7.245772111781947444e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
6.883204030934984985e+01,0.000000000000000000e+00
6.714031164633321680e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
5.866219255108978814e+01,0.000000000000000000e+00
8.651698952240946028e+01,0.000000000000000000e+00
8.899258125775004657e+01,0.000000000000000000e+00
